國文,數學,英文
86,61,69
58,94,51
67,50,70
61,94,56
63,100,89
70,95,83
87,99,65
86,69,94
92,85,74
85,90,86
91,59,65
63,99,75
73,77,90
91,71,89
82,58,94
84,86,54
84,57,62
64,68,68
90,78,56
97,58,75
90,70,84
84,93,70
73,65,56
66,79,97
87,72,59
77,88,87
71,79,59
90,80,68
83,68,56
76,97,55
75,58,54
74,83,70
74,97,71
62,78,59
69,63,62
77,69,57
95,72,86
95,62,78
95,74,74
53,94,50
82,51,82
69,62,60
99,75,52
81,50,54
59,87,57
95,89,78
56,52,68
67,65,85
62,74,95
95,72,84
